 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,禁,,示,,,,,キン,,,,,,,,,,,
,緊,,糸,,S,,,キン,,,,,,,,,,,
,錦,,金,,S,,,キン,,,,,にしき,,,,,,
,謹,謹 ,言,,S,,,キン,,,,,つつし-む,,,,,,
,襟,,衣,,S,,,キン,,,,,えり,,,,,,
,吟,,口,,S,,,ギン,,,,,,,,,,,
,銀,,金,,,,,ギン,,,,,,,,,,,
,区,區,匸,,,,,ク,,,,,,,,,,,
,句,,口,,,,,ク,,,,,,,,,,,
,苦,,艸,,,,,ク,,,,,くる-しい,くる-しむ,くる-しめる,にが-い,にが-る,,
,駆,驅,馬,,S,,,ク,,,,,か-ける,か-る,,,,,
,具,,八,,,,,グ,,,,,,,,,,,
,惧 ,,心,,S,,,グ,,,,,,,,,,,
,愚,,心,,S,,,グ,,,,,おろ-か,,,,,,
,空,,穴,,,,,クウ,,,,,そら,あ-く,あ-ける,から,,,
,偶,,人,,S,,,グウ,,,,,,,,,,,
,遇,,辵,,S,,,グウ,,,,,,,,,,,
,隅,,阜,,S,,,グウ,,,,,すみ,,,,,,
,串,,丨,,S,,,,,,,,くし,,,,,,
,屈,,尸,,S,,,クツ,,,,,,,,,,,
,掘,,手,,S,,,クツ,,,,,ほ-る,,,,,,
,窟,,穴,,S,,,クツ,,,,,,,,,,,
,熊,,火,,S,,,,,,,,くま,,,,,,
,繰,,糸,,S,,,,,,,,く-る,,,,,,
,君,,口,,,,,クン,,,,,きみ,,,,,,
,訓,,言,,,,,クン,,,,,,,,,,,
,勲,勳,力,,S,,,クン,,,,,,,,,,,
,薫,薰,艸,,S,,,クン,,,,,かお-る,,,,,,
,軍,,車,,,,,グン,,,,,,,,,,,
,郡,,邑,,,,,グン,,,,,,,,,,,
,群,,羊,,,,,グン,,,,,む-れる,む-れ,（むら）,,,,
,兄,,儿,,,,,ケイ,（キョウ）,,,,あに,,,,,,
,刑,,刀,,S,,,ケイ,,,,,,,,,,,
,形,,彡,,,,,ケイ,ギョウ,,,,かた,かたち,,,,,
,系,,糸,,,,,ケイ,,,,,,,,,,,
,径,徑,彳,,,,,ケイ,,,,,,,,,,,
,茎,莖,艸,,S,,,ケイ,,,,,くき,,,,,,
,係,,人,,,,,ケイ,,,,,かか-る,かかり,,,,,
,型,,土,,,,,ケイ,,,,,かた,,,,,,
,契,,大,,S,,,ケイ,,,,,ちぎ-る,,,,,,
,計,,言,,,,,ケイ,,,,,はか-る,はか-らう,,,,,
,恵,惠,心,,S,,,ケイ,エ,,,,めぐ-む,,,,,,
,啓,,口,,S,,,ケイ,,,,,,,,,,,
,掲,揭,手,,S,,,ケイ,,,,,かか-げる,,,,,,
,渓,溪,水,,S,,,ケイ,,,,,,,,,,,
,経,經,糸,,,,,ケイ,キョウ,,,,へ-る,,,,,,
,蛍,螢,虫,,S,,,ケイ,,,,,ほたる,,,,,,
,敬,,攴,,,,,ケイ,,,,,うやま-う,,,,,,
,景,,日,,,,,ケイ,,,,,,,,,,,
,軽,輕,車,,,,,ケイ,,,,,かる-い,かろ-やか,,,,,
,傾,,人,,S,,,ケイ,,,,,かたむ-く,かたむ-ける,,,,,
,携,,手,,S,,,ケイ,,,,,たずさ-える,たずさ-わる,,,,,
,継,繼,糸,,S,,,ケイ,,,,,つ-ぐ,,,,,,
,詣,,言,,S,,,ケイ,,,,,もう-でる,,,,,,
,慶,,心,,S,,,ケイ,,,,,,,,,,,
,憬,,心,,S,,,ケイ,,,,,,,,,,,
,稽 ,,禾,,S,,,ケイ,,,,,,,,,,,
,憩,,心,,S,,,ケイ,,,,,いこ-い,いこ-う,,,,,
,警,,言,,,,,ケイ,,,,,,,,,,,
,鶏,鷄,鳥,,S,,,ケイ,,,,,にわとり,,,,,,
,芸,藝,艸,,,,,ゲイ,,,,,,,,,,,
,迎,,辵,,S,,,ゲイ,,,,,むか-える,,,,,,
,鯨,,魚,,S,,,ゲイ,,,,,くじら,,,,,,
,隙,,阜,,S,,,ゲキ,,,,,すき,,,,,,
,劇,,刀,,,,,ゲキ,,,,,,,,,,,
,撃,擊,手,,S,,,ゲキ,,,,,う-つ,,,,,,
,激,,水,,,,,ゲキ,,,,,はげ-しい,,,,,,
,桁,,木,,S,,,,,,,,けた,,,,,,
,欠,缺,缶,,,,,ケツ,,,,,か-ける,か-く,,,,,
,穴,,穴,,,,,ケツ,,,,,あな,,,,,,
,血,,血,,,,,ケツ,,,,,ち,,,,,,
,決,,水,,,,,ケツ,,,,,き-める,き-まる,,,,,
,結,,糸,,,,,ケツ,,,,,むす-ぶ,ゆ-う,ゆ-わえる,,,,
,傑,,人,,S,,,ケツ,,,,,,,,,,,
,潔,,水,,,,,ケツ,,,,,いさぎよ-い,,,,,,
,月,,月,,,,,ゲツ,ガツ,,,,つき,,,,,,
,犬,,犬,,,,,ケン,,,,,いぬ,,,,,,
,件,,人,,,,,ケン,,,,,,,,,,,
,見,,見,,,,,ケン,,,,,み-る,み-える,み-せる,,,,
,券,,刀,,,,,ケン,,,,,,,,,,,
,肩,,肉,,S,,,ケン,,,,,かた,,,,,,
,建,,廴,,,,,ケン,（コン）,,,,た-てる,た-つ,,,,,
,研,硏,石,,,,,ケン,,,,,と-ぐ,,,,,,
,県,縣,糸,,,,,ケン,,,,,,,,,,,
,倹,儉,人,,S,,,ケン,,,,,,,,,,,
,兼,,八,,S,,,ケン,,,,,か-ねる,,,,,,
,剣,劍,刀,,S,,,ケン,,,,,つるぎ,,,,,,
,拳,,手,,S,,,ケン,,,,,こぶし,,,,,,
,軒,,車,,S,,,ケン,,,,,のき,,,,,,
,健,,人,,,,,ケン,,,,,すこ-やか,,,,,,
,険,險,阜,,,,,ケン,,,,,けわ-しい,,,,,,
,圏,圈,囗,,S,,,ケン,,,,,,,,,,,
,堅,,土,,S,,,ケン,,,,,かた-い,,,,,,
,検,檢,木,,,,,ケン,,,,,,,,,,,
,嫌,,女,,S,,,ケン,（ゲン）,,,,きら-う,いや,,,,,
,献,獻,犬,,S,,,ケン,（コン）,,,,,,,,,,
,絹,,糸,,,,,ケン,,,,,きぬ,,,,,,
,遣,,辵,,S,,,ケン,,,,,つか-う,つか-わす,,,,,
,権,權,木,,,,,ケン,（ゴン）,,,,,,,,,,
,憲,,心,,,,,ケン,,,,,,,,,,,
,賢,,貝,,S,,,ケン,,,,,かしこ-い,,,,,,
,謙,,言,,S,,,ケン,,,,,,,,,,,
,鍵,,金,,S,,,ケン,,,,,かぎ,,,,,,
,繭,,糸,,S,,,ケン,,,,,まゆ,,,,,,
,顕,顯,頁,,S,,,ケン,,,,,,,,,,,
,験,驗,馬,,,,,ケン,（ゲン）,,,,,,,,,,
,懸,,心,,S,,,ケン,（ケ）,,,,か-ける,か-かる,,,,,
,元,,儿,,,,,ゲン,ガン,,,,もと,,,,,,
,幻,,幺,,S,,,ゲン,,,,,まぼろし,,,,,,
,玄,,玄,,S,,,ゲン,,,,,,,,,,,
,言,,言,,,,,ゲン,ゴン,,,,い-う,こと,,,,,
,弦,,弓,,S,,,ゲン,,,,,つる,,,,,,
,限,,阜,,,,,ゲン,,,,,かぎ-る,,,,,,
,原,,厂,,,,,ゲン,,,,,はら,,,,,,
,現,,玉,,,,,ゲン,,,,,あらわ-れる,あらわ-す,,,,,
,舷,,舟,,S,,,ゲン,,,,,,,,,,,
,減,,水,,,,,ゲン,,,,,へ-る,へ-らす,,,,,
,源,,水,,,,,ゲン,,,,,みなもと,,,,,,
,厳,嚴,口,,,,,ゲン,（ゴン）,,,,おごそ-か,きび-しい,,,,,
,己,,己,,,,,コ,キ,,,,おのれ,,,,,,
,戸,,戶,,,,,コ,,,,,と,,,,,,
,古,,口,,,,,コ,,,,,ふる-い,ふる-す,,,,,
,呼,,口,,,,,コ,,,,,よ-ぶ,,,,,,
,固,,囗,,,,,コ,,,,,かた-める,かた-まる,かた-い,,,,
,股,,肉,,S,,,コ,,,,,また,,,,,,
,虎,,虍,,S,,,コ,,,,,とら,,,,,,
,孤,,子,,S,,,コ,,,,,,,,,,,
,弧,,弓,,S,,,コ,,,,,,,,,,,
,故,,攴,,,,,コ,,,,,ゆえ,,,,,,
,枯,,木,,S,,,コ,,,,,か-れる,か-らす,,,,,
,個,,人,,,,,コ,,,,,,,,,,,
,庫,,广,,,,,コ,（ク）,,,,,,,,,,
,湖,,水,,,,,コ,,,,,みずうみ,,,,,,
,雇,,隹,,S,,,コ,,,,,やと-う,,,,,,
,誇,,言,,S,,,コ,,,,,ほこ-る,,,,,,
,鼓,,鼓,,S,,,コ,,,,,つづみ,,,,,,
,錮,,金,,S,,,コ,,,,,,,,,,,
,顧,,頁,,S,,,コ,,,,,かえり-みる,,,,,,
,五,,二,,,,,ゴ,,,,,いつ,いつ-つ,,,,,
,互,,二,,S,,,ゴ,,,,,たが-い,,,,,,
,午,,十,,,,,ゴ,,,,,,,,,,,
,呉,,口,,S,,,ゴ,,,,,,,,,,,
,後,,彳,,,,,ゴ,コウ,,,,のち,うし-ろ,あと,おく-れる,,,
,娯,,女,,S,,,ゴ,,,,,,,,,,,
,悟,,心,,S,,,ゴ,,,,,さと-る,,,,,,
,碁,,石,,S,,,ゴ,,,,,,,,,,,
,語,,言,,,,,ゴ,,,,,かた-る,かた-らう,,,,,
,誤,,言,,,,,ゴ,,,,,あやま-る,,,,,,
,護,,言,,,,,ゴ,,,,,,,,,,,
,口,,口,,,,,コウ,ク,,,,くち,,,,,,
,工,,工,,,,,コウ,ク,,,,,,,,,,
,公,,八,,,,,コウ,,,,,おおやけ,,,,,,
,勾,,勹,,S,,,コウ,,,,,,,,,,,
,孔,,子,,S,,,コウ,,,,,,,,,,,
,功,,力,,,,,コウ,（ク）,,,,,,,,,,
,巧,,工,,S,,,コウ,,,,,たく-み,,,,,,
,広,廣,广,,,,,コウ,,,,,ひろ-い,ひろ-まる,ひろ-める,ひろ-がる,ひろ-げる,,
,甲,,田,,S,,,コウ,カン,,,,,,,,,,
,交,,亠,,,,,コウ,,,,,まじ-わる,まじ-える,ま-じる,ま-ざる,ま-ぜる,か-う,か-わす
,光,,儿,,,,,コウ,,,,,ひか-る,ひかり,,,,,
,向,,口,,,,,コウ,,,,,む-く,む-ける,む-かう,む-こう,,,
,后,,口,,,,,コウ,,,,,,,,,,,
,好,,女,,,,,コウ,,,,,この-む,す-く,,,,,
,江,,水,,S,,,コウ,,,,,え,,,,,,
,考,,老,,,,,コウ,,,,,かんが-える,,,,,,
,行,,行,,,,,コウ,ギョウ,（アン）,,,い-く,ゆ-く,おこな-う,,,,
,坑,,土,,S,,,コウ,,,,,,,,,,,
,孝,,子,,,,,コウ,,,,,,,,,,,
,抗,,手,,S,,,コウ,,,,,,,,,,,
,攻,,攴,,S,,,コウ,,,,,せ-める,,,,,,
,更,,曰,,S,,,コウ,,,,,さら,ふ-ける,ふ-かす,,,,
,効,效,力,,,,,コウ,,,,,き-く,,,,,,
,幸,,干,,,,,コウ,,,,,さいわ-い,さち,しあわ-せ,,,,
,拘,,手,,S,,,コウ,,,,,,,,,,,
,肯,,肉,,S,,,コウ,,,,,,,,,,,
,侯,,人,,S,,,コウ,,,,,,,,,,,
,厚,,厂,,,,,コウ,,,,,あつ-い,,,,,,
,恒,恆,心,,S,,,コウ,,,,,,,,,,,
,洪,,水,,S,,,コウ,,,,,,,,,,,
,皇,,白,,,,,コウ,オウ,,,,,,,,,,
,紅,,糸,,,,,コウ,（ク）,,,,べに,くれない,,,,,
,荒,,艸,,S,,,コウ,,,,,あら-い,あ-れる,あ-らす,,,,
,郊,,邑,,S,,,コウ,,,,,,,,,,,
,香,,香,,S,,,コウ,（キョウ）,,,,か,かお-り,かお-る,,,,
,候,,人,,,,,コウ,,,,,そうろう,,,,,,
,校,,木,,,,,コウ,,,,,,,,,,,
,耕,,耒,,,,,コウ,,,,,たがや-す,,,,,,
,航,,舟,,,,,コウ,,,,,,,,,,,
,貢,,貝,,S,,,コウ,（ク）,,,,みつ-ぐ,,,,,,
,降,,阜,,,,,コウ,,,,,お-りる,お-ろす,ふ-る,,,,
,高,,高,,,,,コウ,,,,,たか-い,たか,たか-まる,たか-める,,,
,康,,广,,,,,コウ,,,,,,,,,,,
,控,,手,,S,,,コウ,,,,,ひか-える,,,,,,
,梗,,木,,S,,,コウ,,,,,,,,,,,
,黄,黃,黃,,,,,コウ,オウ,,,,き,（こ）,,,,,
,喉,,口,,S,,,コウ,,,,,のど,,,,,,
,慌,,心,,S,,,コウ,,,,,あわ-てる,あわ-ただしい,,,,,
,港,,水,,,,,コウ,,,,,みなと,,,,,,
,硬,,石,,S,,,コウ,,,,,かた-い,,,,,,
,絞,,糸,,S,,,コウ,,,,,しぼ-る,し-める,し-まる,,,,
,項,,頁,,S,,,コウ,,,,,,,,,,,
,溝,,水,,S,,,コウ,,,,,みぞ,,,,,,
,鉱,鑛,金,,,,,コウ,,,,,,,,,,,
,構,,木,,,,,コウ,,,,,かま-える,かま-う,,,,,
,綱,,糸,,S,,,コウ,,,,,つな,,,,,,
,酵,,酉,,S,,,コウ,,,,,,,,,,,
,稿,,禾,,S,,,コウ,,,,,,,,,,,
,興,,臼,,,,,コウ,キョウ,,,,おこ-る,おこ-す,,,,,
,衡,,行,,S,,,コウ,,,,,,,,,,,
,鋼,,金,,,,,コウ,,,,,はがね,,,,,,
,講,,言,,,,,コウ,,,,,,,,,,,
,購,,貝,,S,,,コウ,,,,,,,,,,,
,乞,,乙,,S,,,,,,,,こ-う,,,,,,
,号,號,虍,,,,,ゴウ,,,,,,,,,,,
,合,,口,,,,,ゴウ,ガッ,（カッ）,,,あ-う,あ-わす,あ-わせる,,,,
,拷,,手,,S,,,ゴウ,,,,,,,,,,,
,剛,,刀,,S,,,ゴウ,,,,,,,,,,,
,傲,,人,,S,,,ゴウ,,,,,,,,,,,
,豪,,豕,,S,,,ゴウ,,,,,,,,,,,
,克,,儿,,S,,,コク,,,,,,,,,,,
,告,,口,,,,,コク,,,,,つ-げる,,,,,,
,谷,,谷,,,,,コク,,,,,たに,,,,,,
,刻,,刀,,,,,コク,,,,,きざ-む,,,,,,
,国,國,囗,,,,,コク,,,,,くに,,,,,,
,黒,黑,黑,,,,,コク,,,,,くろ,くろ-い,,,,,
,穀,穀 ,禾,,,,,コク,,,,,,,,,,,
,酷,,酉,,S,,,コク,,,,,,,,,,,
,獄,,犬,,S,,,ゴク,,,,,,,,,,,
,骨,,骨,,,,,コツ,,,,,ほね,,,,,,
,駒,,馬,,S,,,,,,,,こま,,,,,,
,込,,辵,,S,,,,,,,,こ-む,こ-める,,,,,
,頃,,頁,,S,,,,,,,,ころ,,,,,,
,今,,人,,,,,コン,キン,,,,いま,,,,,,
,困,,囗,,,,,コン,,,,,こま-る,,,,,,
,昆,,日,,S,,,コン,,,,,,,,,,,
,恨,,心,,S,,,コン,,,,,うら-む,うら-めしい,,,,,
,根,,木,,,,,コン,,,,,ね,,,,,,
,婚,,女,,S,,,コン,,,,,,,,,,,
,混,,水,,,,,コン,,,,,ま-じる,ま-ざる,ま-ぜる,こ-む,,,
,痕,,疒,,S,,,コン,,,,,あと,,,,,,
,紺,,糸,,S,,,コン,,,,,,,,,,,
,魂,,鬼,,S,,,コン,,,,,たましい,,,,,,
,墾,,土,,S,,,コン,,,,,,,,,,,
,懇,,心,,S,,,コン,,,,,ねんご-ろ,,,,,,
,左,,工,,,,,サ,,,,,ひだり,,,,,,
,佐,,人,,S,,,サ,,,,,,,,,,,
,沙,,水,,S,,,サ,,,,,,,,,,,
,査,,木,,,,,サ,,,,,,,,,,,
,砂,,石,,,,,サ,シャ,,,,すな,,,,,,
,唆,,口,,S,,,サ,,,,,そそのか-す,,,,,,
,差,,工,,,,,サ,,,,,さ-す,,,,,,
,詐,,言,,S,,,サ,,,,,,,,,,,
,鎖,,金,,S,,,サ,,,,,くさり,,,,,,
,座,,广,,,,,ザ,,,,,すわ-る,,,,,,
,挫,,手,,S,,,ザ,,,,,,,,,,,
,才,,手,,,,,サイ,,,,,,,,,,,
,再,,冂,,,,,サイ,（サ）,,,,ふたた-び,,,,,,
,災,,火,,,,,サイ,,,,,わざわ-い,,,,,,
,妻,,女,,,,,サイ,,,,,つま,,,,,,
,采,,釆,,S,,,サイ,,,,,,,,,,,
,砕,碎,石,,S,,,サイ,,,,,くだ-く,くだ-ける,,,,,
,宰,,宀,,S,,,サイ,,,,,,,,,,,
,栽,,木,,S,,,サイ,,,,,,,,,,,
,彩,,彡,,S,,,サイ,,,,,いろど-る,,,,,,
,採,,手,,,,,サイ,,,,,と-る,,,,,,
,済,濟,水,,,,,サイ,,,,,す-む,す-ます,,,,,
,祭,,示,,,,,サイ,,,,,まつ-る,まつ-り,,,,,
,斎,齋,齊,,S,,,サイ,,,,,,,,,,,
,細,,糸,,,,,サイ,,,,,ほそ-い,ほそ-る,こま-か,こま-かい,,,
,菜,,艸,,,,,サイ,,,,,な,,,,,,
,最,,曰,,,,,サイ,,,,,もっと-も,,,,,,
,裁,,衣,,,,,サイ,,,,,た-つ,さば-く,,,,,
,債,,人,,S,,,サイ,,,,,,,,,,,
,催,,人,,S,,,サイ,,,,,もよお-す,,,,,,
,塞,,土,,S,,,サイ,ソク,,,,ふさ-ぐ,ふさ-がる,,,,,
,歳,,止,,S,,,サイ,（セイ）,,,,,,,,,,
,載,,車,,S,,,サイ,,,,,の-せる,の-る,,,,,
,際,,阜,,,,,サイ,,,,,きわ,,,,,,
,埼,,土,,S,,,,,,,,（さい）,,,,,,
,在,,土,,,,,ザイ,,,,,あ-る,,,,,,
,材,,木,,,,,ザイ,,,,,,,,,,,
,剤,劑,刀,,S,,,ザイ,,,,,,,,,,,
,財,,貝,,,,,ザイ,（サイ）,,,,,,,,,,
,罪,,网,,,,,ザイ,,,,,つみ,,,,,,
,崎,,山,,S,,,,,,,,さき,,,,,,
,作,,人,,,,,サク,サ,,,,つく-る,,,,,,
,削,,刀,,S,,,サク,,,,,けず-る,,,,,,
,昨,,日,,,,,サク,,,,,,,,,,,
,柵 ,,木,,S,,,サク,,,,,,,,,,,
,索,,糸,,S,,,サク,,,,,,,,,,,
,策,,竹,,,,,サク,,,,,,,,,,,
,酢,,酉,,S,,,サク,,,,,す,,,,,,
,搾,,手,,S,,,サク,,,,,しぼ-る,,,,,,
,錯,,金,,S,,,サク,,,,,,,,,,,
,咲,,口,,S,,,,,,,,さ-く,,,,,,
,冊,,冂,,,,,サツ,サク,,,,,,,,,,
,札,,木,,,,,サツ,,,,,ふだ,,,,,,
,刷,,刀,,,,,サツ,,,,,す-る,,,,,,
,刹,,刀,,S,,,サツ,セツ,,,,,,,,,,
,拶,,手,,S,,,サツ,,,,,,,,,,,
,殺,殺 ,殳,,,,,サツ,（サイ）,（セツ）,,,ころ-す,,,,,,
,察,,宀,,,,,サツ,,,,,,,,,,,
,撮,,手,,S,,,サツ,,,,,と-る,,,,,,
,擦,,手,,S,,,サツ,,,,,す-る,す-れる,,,,,
,雑,雜,隹,,,,,ザツ,ゾウ,,,,,,,,,,
,皿,,皿,,,,,,,,,,さら,,,,,,
,三,,一,,,,,サン,,,,,み,み-つ,みっ-つ,,,,
,山,,山,,,,,サン,,,,,やま,,,,,,
,参,參,厶,,,,,サン,,,,,まい-る,,,,,,
,桟,棧,木,,S,,,サン,,,,,,,,,,,
,蚕,蠶,虫,,,,,サン,,,,,かいこ,,,,,,
,惨,慘,心,,S,,,サン,ザン,,,,みじ-め,,,,,,
,産,,生,,,,,サン,,,,,う-む,う-まれる,うぶ,,,,
,傘,,人,,S,,,サン,,,,,かさ,,,,,,
,散,,攴,,,,,サン,,,,,ち-る,ち-らす,ち-らかす,ち-らかる,,,
,算,,竹,,,,,サン,,,,,,,,,,,
,酸,,酉,,,,,サン,,,,,す-い,,,,,,
,賛,贊,貝,,,,,サン,,,,,,,,,,,
,残,殘,歹,,,,,ザン,,,,,のこ-る,のこ-す,,,,,
,斬,,斤,,S,,,ザン,,,,,き-る,,,,,,
,暫,,日,,S,,,ザン,,,,,,,,,,,
,士,,士,,,,,シ,,,,,,,,,,,
,子,,子,,,,,シ,ス,,,,こ,,,,,,
,支,,支,,,,,シ,,,,,ささ-える,,,,,,
,止,,止,,,,,シ,,,,,と-まる,と-める,,,,,
,氏,,氏,,,,,シ,,,,,うじ,,,,,,
,仕,,人,,,,,シ,（ジ）,,,,つか-える,,,,,,
,史,,口,,,,,シ,,,,,,,,,,,
,司,,口,,,,,シ,,,,,,,,,,,
,四,,囗,,,,,シ,,,,,よ,よ-つ,よっ-つ,よん,,,
,市,,巾,,,,,シ,,,,,いち,,,,,,
,矢,,矢,,,,,シ,,,,,や,,,,,,
,旨,,日,,S,,,シ,,,,,むね,,,,,,
,死,,歹,,,,,シ,,,,,し-ぬ,,,,,,
,糸,絲,糸,,,,,シ,,,,,いと,,,,,,
,至,,至,,,,,シ,,,,,いた-る,,,,,,
,伺,,人,,S,,,シ,,,,,うかが-う,,,,,,
,志,,心,,,,,シ,,,,,こころざ-す,こころざし,,,,,
,私,,禾,,,,,シ,,,,,わたくし,わたし,,,,,
,使,,人,,,,,シ,,,,,つか-う,,,,,,
,刺,,刀,,S,,,シ,,,,,さ-す,さ-さる,,,,,
,始,,女,,,,,シ,,,,,はじ-める,はじ-まる,,,,,
,姉,,女,,,,,シ,,,,,あね,,,,,,
,枝,,木,,,,,シ,,,,,えだ,,,,,,
,祉,祉 ,示,,S,,,シ,,,,,,,,,,,
,肢,,肉,,S,,,シ,,,,,,,,,,,
,姿,,女,,,,,シ,,,,,すがた,,,,,,
,思,,心,,,,,シ,,,,,おも-う,,,,,,
,指,,手,,,,,シ,,,,,ゆび,さ-す,,,,,
,施,,方,,S,,,シ,セ,,,,ほどこ-す,,,,,,
,師,,巾,,,,,シ,,,,,,,,,,,
,恣 ,,心,,S,,,シ,,,,,,,,,,,
,紙,,糸,,,,,シ,,,,,かみ,,,,,,
,脂,,肉,,S,,,シ,,,,,あぶら,,,,,,
,視,視 ,見,,,,,シ,,,,,,,,,,,
,紫,,糸,,S,,,シ,,,,,むらさき,,,,,,
,詞,,言,,,,,シ,,,,,,,,,,,
,歯,齒,齒,,,,,シ,,,,,は,,,,,,
,嗣,,口,,S,,,シ,,,,,,,,,,,
,試,,言,,,,,シ,,,,,こころ-みる,ため-す,,,,,
,詩,,言,,,,,シ,,,,,,,,,,,
,資,,貝,,,,,シ,,,,,,,,,,,
,飼,,食,,,,,シ,,,,,か-う,,,,,,
,誌,,言,,,,,シ,,,,,,,,,,,
,雌,,隹,,S,,,シ,,,,,め,めす,,,,,
,摯,,手,,S,,,シ,,,,,,,,,,,
,賜,,貝,,S,,,シ,,,,,たまわ-る,,,,,,
,諮,,言,,S,,,シ,,,,,はか-る,,,,,,
,示,,示,,,,,ジ,シ,,,,しめ-す,,,,,,
,字,,子,,,,,ジ,,,,,あざ,,,,,,
,寺,,寸,,,,,ジ,,,,,てら,,,,,,
,次,,欠,,,,,ジ,シ,,,,つ-ぐ,つぎ,,,,,
,耳,,耳,,,,,ジ,,,,,みみ,,,,,,
,自,,自,,,,,ジ,シ,,,,みずか-ら,,,,,,
,似,,人,,,,,ジ,,,,,に-る,,,,,,
,児,兒,儿,,,,,ジ,（ニ）,,,,,,,,,,
,事,,亅,,,,,ジ,（ズ）,,,,こと,,,,,,
,侍,,人,,S,,,ジ,,,,,さむらい,,,,,,
,治,,水,,,,,ジ,チ,,,,おさ-める,おさ-まる,なお-る,なお-す,,,
,持,,手,,,,,ジ,,,,,も-つ,,,,,,
,時,,日,,,,,ジ,,,,,とき,,,,,,
,滋,,水,,S,,,ジ,,,,,,,,,,,
,慈,,心,,S,,,ジ,,,,,いつく-しむ,,,,,,
,辞,辭,辛,,,,,ジ,,,,,や-める,,,,,,
,磁,,石,,,,,ジ,,,,,,,,,,,
,餌 ,,食,,S,,,ジ,,,,,えさ,え,,,,,
,璽,,玉,,S,,,ジ,,,,,,,,,,,
,鹿,,鹿,,S,,,,,,,,しか,（か）,,,,,
,式,,弋,,,,,シキ,,,,,,,,,,,
,識,,言,,,,,シキ,,,,,,,,,,,
,軸,,車,,S,,,ジク,,,,,,,,,,,
,七,,一,,,,,シチ,,,,,なな,なな-つ,（なの）,,,,
,? ,,口,,S,,,シツ,,,,,しか-る,,,,,,
,失,,大,,,,,シツ,,,,,うしな-う,,,,,,
,室,,宀,,,,,シツ,,,,,むろ,,,,,,
,疾,,疒,,S,,,シツ,,,,,,,,,,,
,執,,土,,S,,,シツ,シュウ,,,,と-る,,,,,,
,湿,濕,水,,S,,,シツ,,,,,しめ-る,しめ-す,,,,,
,嫉,,女,,S,,,シツ,,,,,,,,,,,
,漆,,水,,S,,,シツ,,,,,うるし,,,,,,
,質,,貝,,,,,シツ,シチ,（チ）,,,,,,,,,
,実,實,宀,,,,,ジツ,,,,,み,みの-る,,,,,
,芝,,艸,,S,,,,,,,,しば,,,,,,
,写,寫,宀,,,,,シャ,,,,,うつ-す,うつ-る,,,,,
,社,社 ,示,,,,,シャ,,,,,やしろ,,,,,,
,車,,車,,,,,シャ,,,,,くるま,,,,,,
,舎,,舌,,,,,シャ,,,,,,,,,,,
,者,者 ,老,,,,,シャ,,,,,もの,,,,,,
,射,,寸,,,,,シャ,,,,,い-る,,,,,,
,捨,,手,,,,,シャ,,,,,す-てる,,,,,,
,赦,,赤,,S,,,シャ,,,,,,,,,,,
,斜,,斗,,S,,,シャ,,,,,なな-め,,,,,,
,煮,煮 ,火,,S,,,シャ,,,,,に-る,に-える,に-やす,,,,
,遮,,辵,,S,,,シャ,,,,,さえぎ-る,,,,,,
,謝,,言,,,,,シャ,,,,,あやま-る,,,,,,
,邪,,邑,,S,,,ジャ,,,,,,,,,,,
,蛇,,虫,,S,,,ジャ,ダ,,,,へび,,,,,,
,勺,,勹,,S,,,シャク,,,,,,,,,,,
,尺,,尸,,,,,シャク,,,,,,,,,,,
,借,,人,,,,,シャク,,,,,か-りる,,,,,,
,酌,,酉,,S,,,シャク,,,,,く-む,,,,,,
,釈,釋,釆,,S,,,シャク,,,,,,,,,,,
,爵,,爪,,S,,,シャク,,,,,,,,,,,
,若,,艸,,,,,ジャク,（ニャク）,,,,わか-い,も-しくは,,,,,
,弱,,弓,,,,,ジャク,,,,,よわ-い,よわ-る,よわ-まる,よわ-める,,,
,寂,,宀,,S,,,ジャク,（セキ）,,,,さび,さび-しい,さび-れる,,,,
,手,,手,,,,,シュ,,,,,て,（た）,,,,,
,主,,丶,,,,,シュ,（ス）,,,,ぬし,おも,,,,,
,守,,宀,,,,,シュ,（ス）,,,,まも-る,も-り,,,,,
,朱,,木,,S,,,シュ,,,,,,,,,,,
,取,,又,,,,,シュ,,,,,と-る,,,,,,
,狩,,犬,,S,,,シュ,,,,,か-る,か-り,,,,,
,首,,首,,,,,シュ,,,,,くび,,,,,,
,殊,,歹,,S,,,シュ,,,,,こと,,,,,,
,珠,,玉,,S,,,シュ,,,,,,,,,,,
,酒,,酉,,,,,シュ,,,,,さけ,（さか）,,,,,
,腫,,肉,,S,,,シュ,,,,,は-れる,は-らす,,,,,
,種,,禾,,,,,シュ,,,,,たね,,,,,,
,趣,,走,,S,,,シュ,,,,,おもむき,,,,,,
,寿,壽,士,,S,,,ジュ,,,,,ことぶき,,,,,,
,受,,又,,,,,ジュ,,,,,う-ける,う-かる,,,,,
,呪,,口,,S,,,ジュ,,,,,のろ-う,,,,,,
,授,,手,,,,,ジュ,,,,,さず-ける,さず-かる,,,,,
,需,,雨,,S,,,ジュ,,,,,,,,,,,
,儒,,人,,S,,,ジュ,,,,,,,,,,,
,樹,,木,,,,,ジュ,,,,,,,,,,,
