 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,汚,,水,,S,,,オ,,,,,けが-す,けが-れる,けが-らわしい,よご-す,よご-れる,きたな-い,
,王,,玉,,,,,オウ,,,,,,,,,,,
,凹,,凵,,S,,,オウ,,,,,,,,,,,
,央,,大,,,,,オウ,,,,,,,,,,,
,応,應,心,,,,,オウ,,,,,こた-える,,,,,,
,往,,彳,,,,,オウ,,,,,,,,,,,
,押,,手,,S,,,オウ,,,,,お-す,お-さえる,,,,,
,旺,,日,,S,,,オウ,,,,,,,,,,,
,欧,歐,欠,,S,,,オウ,,,,,,,,,,,
,殴,毆,殳,,S,,,オウ,,,,,なぐ-る,,,,,,
,桜,櫻,木,,,,,オウ,,,,,さくら,,,,,,
,翁,,羽,,S,,,オウ,,,,,,,,,,,
,奥,奧,大,,S,,,オウ,,,,,おく,,,,,,
,横,橫,木,,,,,オウ,,,,,よこ,,,,,,
,岡,,山,,S,,,,,,,,（おか）,,,,,,
,屋,,尸,,,,,オク,,,,,や,,,,,,
,億,,人,,,,,オク,,,,,,,,,,,
,憶,,心,,S,,,オク,,,,,,,,,,,
,臆 ,,肉,,S,,,オク,,,,,,,,,,,
,虞,,虍,,S,,,,,,,,おそれ,,,,,,
,乙,,乙,,S,,,オツ,,,,,,,,,,,
,俺,,人,,S,,,,,,,,おれ,,,,,,
,卸,,卩,,S,,,,,,,,おろ-す,おろし,,,,,
,音,,音,,,,,オン,イン,,,,おと,ね,,,,,
,恩,,心,,,,,オン,,,,,,,,,,,
,温,溫,水,,,,,オン,,,,,あたた-か,あたた-かい,あたた-まる,あたた-める,,,
,穏,穩,禾,,S,,,オン,,,,,おだ-やか,,,,,,
,下,,一,,,,,カ,ゲ,,,,した,しも,もと,さ-げる,さ-がる,くだ-る,
,化,,匕,,,,,カ,ケ,,,,ば-ける,ば-かす,,,,,
,火,,火,,,,,カ,,,,,ひ,（ほ）,,,,,
,加,,力,,,,,カ,,,,,くわ-える,くわ-わる,,,,,
,可,,口,,,,,カ,,,,,,,,,,,
,仮,假,人,,,,,カ,（ケ）,,,,かり,,,,,,
,何,,人,,,,,カ,,,,,なに,（なん）,,,,,
,花,,艸,,,,,カ,,,,,はな,,,,,,
,佳,,人,,S,,,カ,,,,,,,,,,,
,価,價,人,,,,,カ,,,,,あたい,,,,,,
,果,,木,,,,,カ,,,,,は-たす,は-てる,は-て,,,,
,河,,水,,,,,カ,,,,,かわ,,,,,,
,苛,,艸,,S,,,カ,,,,,,,,,,,
,科,,禾,,,,,カ,,,,,,,,,,,
,架,,木,,S,,,カ,,,,,か-ける,か-かる,,,,,
,夏,,夊,,,,,カ,（ゲ）,,,,なつ,,,,,,
,家,,宀,,,,,カ,ケ,,,,いえ,や,,,,,
,荷,,艸,,,,,カ,,,,,に,,,,,,
,華,,艸,,S,,,カ,（ケ）,,,,はな,,,,,,
,菓,,艸,,S,,,カ,,,,,,,,,,,
,貨,,貝,,,,,カ,,,,,,,,,,,
,渦,,水,,S,,,カ,,,,,うず,,,,,,
,過,,辵,,,,,カ,,,,,す-ぎる,す-ごす,あやま-つ,あやま-ち,,,
,嫁,,女,,S,,,カ,,,,,よめ,とつ-ぐ,,,,,
,暇,,日,,S,,,カ,,,,,ひま,,,,,,
,禍,禍 ,示,,S,,,カ,,,,,,,,,,,
,靴,,革,,S,,,カ,,,,,くつ,,,,,,
,寡,,宀,,S,,,カ,,,,,,,,,,,
,歌,,欠,,,,,カ,,,,,うた,うた-う,,,,,
,箇,,竹,,S,,,カ,,,,,,,,,,,
,稼,,禾,,S,,,カ,,,,,かせ-ぐ,,,,,,
,課,,言,,,,,カ,,,,,,,,,,,
,蚊,,虫,,S,,,,,,,,か,,,,,,
,牙 ,,牙,,S,,,ガ,（ゲ）,,,,きば,,,,,,
,瓦,,瓦,,S,,,ガ,,,,,かわら,,,,,,
