闕,궐
机,궤
櫃,궤
潰,궤
詭,궤
軌,궤
饋,궤
句,귀
晷,귀
歸,귀
貴,귀
鬼,귀
龜,귀
叫,규
圭,규
奎,규
揆,규
槻,규
珪,규
硅,규
窺,규
竅,규
糾,규
葵,규
規,규
赳,규
逵,규
閨,규
勻,균
均,균
畇,균
筠,균
菌,균
鈞,균
龜,균
橘,귤
克,극
剋,극
劇,극
戟,극
棘,극
極,극
隙,극
僅,근
劤,근
勤,근
懃,근
斤,근
根,근
槿,근
瑾,근
筋,근
芹,근
菫,근
覲,근
謹,근
近,근
饉,근
契,글
今,금
妗,금
擒,금
昑,금
檎,금
琴,금
禁,금
禽,금
芩,금
衾,금
衿,금
襟,금
金,금
錦,금
伋,급
及,급
急,급
扱,급
汲,급
級,급
給,급
亘,긍
兢,긍
矜,긍
肯,긍
企,기
伎,기
其,기
冀,기
嗜,기
器,기
圻,기
基,기
埼,기
夔,기
奇,기
妓,기
寄,기
岐,기
崎,기
己,기
幾,기
忌,기
技,기
旗,기
旣,기
朞,기
期,기
杞,기
棋,기
棄,기
機,기
欺,기
氣,기
汽,기
沂,기
淇,기
玘,기
琦,기
琪,기
璂,기
璣,기
畸,기
畿,기
碁,기
磯,기
祁,기
祇,기
祈,기
祺,기
箕,기
紀,기
綺,기
羈,기
耆,기
耭,기
肌,기
記,기
譏,기
豈,기
起,기
錡,기
錤,기
飢,기
饑,기
騎,기
騏,기
驥,기
麒,기
緊,긴
佶,길
吉,길
拮,길
桔,길
金,김
喫,끽
儺,나
喇,나
奈,나
娜,나
懦,나
懶,나
拏,나
拿,나
癩,나
羅,나
蘿,나
螺,나
裸,나
邏,나
那,나
樂,낙
洛,낙
烙,낙
珞,낙
落,낙
諾,낙
酪,낙
駱,낙
亂,난
卵,난
暖,난
欄,난
煖,난
爛,난
蘭,난
難,난
鸞,난
捏,날
捺,날
南,남
嵐,남
枏,남
楠,남
湳,남
濫,남
男,남
藍,남
襤,남
拉,납
納,납
臘,납
蠟,납
衲,납
囊,낭
娘,낭
廊,낭
朗,낭
浪,낭
狼,낭
郎,낭
乃,내
來,내
內,내
奈,내
柰,내
耐,내
冷,냉
女,녀
年,년
撚,년
秊,년
念,념
恬,념
拈,념
捻,념
寧,녕
寗,녕
努,노
勞,노
奴,노
弩,노
怒,노
擄,노
櫓,노
爐,노
瑙,노
盧,노
老,노
蘆,노
虜,노
路,노
露,노
駑,노
魯,노
鷺,노
碌,녹
祿,녹
綠,녹
菉,녹
錄,녹
鹿,녹
論,논
壟,농
弄,농
濃,농
籠,농
聾,농
膿,농
農,농
惱,뇌
牢,뇌
磊,뇌
腦,뇌
賂,뇌
雷,뇌
尿,뇨
壘,누
屢,누
樓,누
淚,누
漏,누
累,누
縷,누
陋,누
嫩,눈
訥,눌
杻,뉴
紐,뉴
勒,늑
肋,늑
凜,늠
凌,능
稜,능
綾,능
能,능
菱,능
陵,능
尼,니
泥,니
匿,닉
溺,닉
多,다
茶,다
丹,단
亶,단
但,단
單,단
團,단
壇,단
彖,단
斷,단
旦,단
檀,단
段,단
湍,단
短,단
端,단
簞,단
緞,단
蛋,단
袒,단
鄲,단
鍛,단
撻,달
澾,달
獺,달
疸,달
達,달
啖,담
坍,담
憺,담
擔,담
曇,담
淡,담
湛,담
潭,담
澹,담
痰,담
聃,담
膽,담
蕁,담
覃,담
談,담
譚,담
錟,담
沓,답
畓,답
答,답
踏,답
遝,답
唐,당
堂,당
塘,당
幢,당
戇,당
撞,당
棠,당
當,당
糖,당
螳,당
黨,당
代,대
垈,대
坮,대
大,대
對,대
岱,대
帶,대
待,대
戴,대
擡,대
玳,대
臺,대
袋,대
貸,대
隊,대
黛,대
宅,댁
德,덕
悳,덕
倒,도
刀,도
到,도
圖,도
堵,도
塗,도
導,도
